league,season,team_name,name,age,nationality,position,transfer_fee,market_value,transfer_direction
GB1,2009,MANCHESTER UNITED,ANTONIO VALENCIA,23,Ecuador,RB,18800000.0,0.0,in
GB1,2009,MANCHESTER UNITED,MAME DIOUF,21,Senegal,CF,4500000.0,1600000.0,in
GB1,2009,MANCHESTER UNITED,GABRIEL OBERTAN,20,France,AM,4000000.0,400000.0,in
GB1,2009,MANCHESTER UNITED,CRISTIANO RONALDO,24,Portugal,CF,94000000.0,45000000.0,in
GB1,2009,MANCHESTER UNITED,FRAIZER CAMPBELL,21,United Kingdom,CF,4099999.999999999,700000.0,in
GB1,2009,MANCHESTER UNITED,MANUCHO,26,Angola,CF,2750000.0,0.0,in
GB1,2009,MANCHESTER UNITED,LEE MARTIN,22,United Kingdom,AM,2250000.0,250000.0,in
GB1,2009,LIVERPOOL FC,GLEN JOHNSON,24,United Kingdom,RB,20500000.0,0.0,in
GB1,2009,LIVERPOOL FC,ALBERTO AQUILANI,25,Italy,CM,20000000.0,0.0,in
GB1,2009,LIVERPOOL FC,SOTIRIS KYRGIAKOS,30,Greece,CB,3000000.0,0.0,in
GB1,2009,LIVERPOOL FC,XABI ALONSO,27,Spain,DM,34500000.0,0.0,in
GB1,2009,LIVERPOOL FC,SEBASTIÁN LETO,22,Argentina,LW,4000000.0,0.0,in
GB1,2009,LIVERPOOL FC,ÁLVARO ARBELOA,26,Spain,RB,4000000.0,0.0,in
GB1,2009,LIVERPOOL FC,CHARLES ITANDJE,26,Cameroon,GK,300000.0,0.0,in
GB1,2009,CHELSEA FC,YURI ZHIRKOV,25,Russia,LB,21000000.0,300000.0,in
GB1,2009,CHELSEA FC,DANIEL STURRIDGE,19,United Kingdom,CF,7250000.0,2000000.0,in
GB1,2009,CHELSEA FC,NEMANJA MATIC,21,Serbia,DM,1750000.0,8000000.0,in
GB1,2009,CHELSEA FC,CLAUDIO PIZARRO,30,Peru,CF,2000000.0,0.0,in
GB1,2009,CHELSEA FC,BEN SAHAR,19,Israel,CF,1000000.0,450000.0,in
